"Stations_id","Referenzjahr","Qualitaetsniveau","Objekt_id","Phase_id","Eintrittsdatum","Eintrittsdatum_QB","Date","Year","Month","Day","rad_global_apr","soil_moist_apr","precip_apr","temp_max_apr","temp_min_apr","Bundesland","Hoehe","Lon","Lat","Naturraumgruppe","Stationsname","Apfelbluete"
11634,2025,1,311,5,20250419,1,2025-04-19,2025,4,19,152.339004516602,70,23.6556835174561,17.2040664672852,2.96845817565918,"Bayern",400,10.8,49.3333,"Fränkisches Keuper-Lias-Land","Heilsbronn (Ph) ",109
11652,2023,10,311,5,20230423,1,2023-04-23,2023,4,23,118.479019165039,96,48.1231422424316,12.7251449584961,3.21283073425293,"Bayern",340,11.2,49.5833,"Fränkisches Keuper-Lias-Land","Eschenau",113
11652,2024,10,311,5,20240331,1,2024-03-31,2024,3,31,118.89852142334,81.3828125,52.5053176879883,16.3251449584961,5.01283073425293,"Bayern",340,11.2,49.5833,"Fränkisches Keuper-Lias-Land","Eschenau",90
11652,2025,1,311,5,20250413,1,2025-04-13,2025,4,13,153.446853637695,68.4362182617188,19.0536708831787,18.3251449584961,4.5074634552002,"Bayern",340,11.2,49.5833,"Fränkisches Keuper-Lias-Land","Eschenau",103
11660,2023,10,311,5,20230506,1,2023-05-06,2023,5,6,108.845565795898,99,66.5342636108398,11.4630584716797,2.05631465911865,"Bayern",450,10.3333,49.1667,"Fränkisches Keuper-Lias-Land","Feuchtwangen (Ph) ",126
11660,2024,10,311,5,20240409,1,2024-04-09,2024,4,9,124.731842041016,88.2060852050781,44.1222763061523,14.712629699707,3.60674362182617,"Bayern",450,10.3333,49.1667,"Fränkisches Keuper-Lias-Land","Feuchtwangen (Ph) ",99
11660,2025,1,311,5,20250420,1,2025-04-20,2025,4,20,149.613494873047,71.2060852050781,32.138557434082,16.4630584716797,2.43571510314941,"Bayern",450,10.3333,49.1667,"Fränkisches Keuper-Lias-Land","Feuchtwangen (Ph) ",110
11702,2023,10,311,5,20230508,1,2023-05-08,2023,5,8,113.479499816895,99.6351318359375,53.1852493286133,11.6444900512695,2.30265636444092,"Bayern",450,11.4,49.4,"Fränkisches Keuper-Lias-Land","Unterrieden ",128
11702,2024,10,311,5,20240407,1,2024-04-07,2024,4,7,118.987823486328,85.3234481811523,70.7024993896484,15.3444900512695,4.16879234313965,"Bayern",450,11.4,49.4,"Fränkisches Keuper-Lias-Land","Unterrieden ",97
11703,2023,10,311,5,20230504,1,2023-05-04,2023,5,4,113.658538818359,98.861701965332,49.5826072692871,11.7378616333008,2.60883522033691,"Bayern",440,10.3333,49.3833,"Fränkisches Keuper-Lias-Land","Cadolzhofen ",124
11703,2024,10,311,5,20240506,1,2024-05-06,2024,5,6,125.048545837402,87.987678527832,45.7593154907227,14.9378616333008,4.10883522033691,"Bayern",440,10.3333,49.3833,"Fränkisches Keuper-Lias-Land","Cadolzhofen ",126
11712,2023,10,311,5,20230502,1,2023-05-02,2023,5,2,116.774459838867,96.6297988891602,53.0180969238281,12.2933540344238,2.4,"Bayern",320,10.5167,49.7667,"Fränkisches Keuper-Lias-Land","Wasserberndorf",122
11712,2024,10,311,5,20240327,1,2024-03-27,2024,3,27,120.177215576172,84.6297988891602,60.1313667297363,15.5933547973633,4.1,"Bayern",320,10.5167,49.7667,"Fränkisches Keuper-Lias-Land","Wasserberndorf",86
11720,2023,10,311,5,20230430,1,2023-04-30,2023,4,30,119.047248840332,95.1706924438477,44.5746841430664,13.2883117675781,3.11703834533691,"Bayern",280,10.2333,49.6333,"Mainfränkische Platten","Bullenheim",120
11720,2024,10,311,5,20240406,1,2024-04-06,2024,4,6,124.924354553223,83.830696105957,47.8296165466309,16.4883117675781,4.81703834533691,"Bayern",280,10.2333,49.6333,"Mainfränkische Platten","Bullenheim",96
11725,2023,10,311,5,20230426,1,2023-04-26,2023,4,26,117.314659118652,96.2511138916016,51.2505874633789,12.674585723877,2.89964466094971,"Bayern",330,10.2333,49.55,"Mainfränkische Platten","Uffenheim ",116
11725,2024,10,311,5,20240405,1,2024-04-05,2024,4,5,125.978912353516,85.2511138916016,50.284538269043,15.8745864868164,4.59964447021484,"Bayern",330,10.2333,49.55,"Mainfränkische Platten","Uffenheim ",95
